CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,SSC_Marks,HSC_Marks,ExtracurricularActivities_Yes,PlacementTraining_Yes,PlacementStatus_Placed
7.5,1,1,1,65,4.4,61,79,0,0,0
8.9,0,3,2,90,4.0,78,82,1,1,1
7.3,1,2,2,82,4.8,79,80,1,0,0
7.5,1,1,2,85,4.4,81,80,1,1,1
8.3,1,2,2,86,4.5,74,88,1,1,1
7.0,0,2,2,71,4.2,55,66,1,0,0
7.7,1,1,1,76,4.0,62,65,0,0,0
7.7,2,1,0,85,3.5,59,72,1,1,0
6.5,1,1,0,84,3.9,75,71,0,1,0
7.8,1,3,2,79,4.4,85,86,1,1,1
8.3,2,3,2,90,4.8,82,88,1,1,1
7.9,1,3,2,90,4.8,71,87,1,1,1
8.3,2,3,2,90,4.5,84,83,1,1,1
7.7,1,1,1,74,4.6,63,73,0,1,0
7.5,1,1,1,66,4.1,61,66,0,0,0
7.4,0,2,1,78,4.4,63,66,0,0,0
8.6,0,3,0,84,4.8,62,78,1,1,1
8.2,2,3,2,90,4.7,84,86,1,1,1
6.8,2,3,0,73,4.4,72,82,1,1,1
7.4,1,2,0,70,4.4,58,63,0,1,0
7.6,2,1,0,84,4.4,77,75,0,1,1
7.4,1,2,1,72,3.5,82,69,0,1,1
7.7,0,1,0,77,3.4,55,72,0,1,1
7.4,1,1,0,60,3.8,55,71,0,0,0
7.4,1,2,1,90,4.3,56,69,0,1,0
6.7,1,1,1,70,4.0,68,57,0,0,0
7.4,2,3,2,78,4.3,76,82,1,1,0
8.3,1,1,1,81,4.5,64,65,1,1,0
7.5,1,2,1,84,4.4,66,73,0,0,0
7.0,0,1,1,63,3.9,60,61,0,1,0
8.4,2,3,2,90,4.6,55,80,1,1,1
7.4,1,2,1,76,4.7,66,69,0,1,0
8.5,1,3,0,90,4.8,85,85,1,1,1
8.6,1,2,2,75,4.3,62,80,1,1,1
6.9,0,1,0,70,3.9,79,68,0,1,1
7.8,1,1,1,67,4.3,65,73,0,0,0
8.3,1,2,2,89,4.8,75,81,1,1,1
8.2,1,2,2,77,4.2,72,72,0,1,1
8.5,2,3,3,90,4.7,79,86,1,1,1
6.7,0,3,2,88,4.2,72,86,1,1,1
8.6,2,3,1,90,4.8,63,84,1,1,1
8.3,2,3,2,85,4.8,77,83,1,1,1
6.7,0,1,1,72,4.4,55,60,0,0,0
8.6,2,3,2,88,4.7,80,87,1,1,1
7.4,1,3,0,86,4.8,70,73,0,1,0
6.7,1,1,2,73,4.5,55,66,0,0,1
6.9,1,1,1,76,4.4,55,65,0,0,0
7.0,1,1,0,62,4.3,59,67,0,1,0
8.1,1,3,2,90,4.6,77,87,1,1,1
7.7,1,2,0,74,3.8,55,66,1,0,0
6.5,0,2,1,77,4.8,56,65,0,1,0
8.2,1,3,0,65,4.1,66,65,1,0,0
8.1,2,3,2,90,4.7,82,82,1,1,1
6.5,1,2,1,80,4.5,72,67,1,1,0
6.5,0,2,1,72,4.5,57,69,0,0,0
8.8,2,3,2,90,4.8,86,88,1,1,1
8.0,1,1,0,74,4.5,55,65,1,1,0
8.4,2,2,2,81,4.6,77,82,1,1,1
8.0,1,1,0,86,4.2,55,83,0,0,0
6.6,0,1,0,76,3.9,78,69,0,1,1
7.7,2,2,0,86,4.0,79,64,1,1,0
8.2,1,2,1,86,4.3,86,63,1,1,1
7.2,1,2,0,74,4.1,70,65,0,0,0
6.6,1,2,1,72,4.1,55,75,0,0,0
7.6,1,2,0,77,4.6,84,67,1,0,0
8.0,0,3,0,68,4.2,64,83,1,0,1
7.8,2,3,2,87,4.8,90,83,1,0,0
7.2,1,1,0,82,4.6,57,64,1,1,0
7.7,1,1,0,74,4.1,57,68,0,1,1
8.4,1,1,2,67,3.8,76,69,1,1,0
7.5,1,1,1,69,4.3,71,76,0,1,0
6.7,0,2,1,79,4.1,78,67,0,0,0
8.1,2,3,2,90,4.8,80,86,1,1,1
7.5,1,2,0,73,4.4,66,84,0,0,0
7.4,2,1,0,75,4.2,65,84,0,1,0
6.5,1,1,0,63,4.5,57,68,0,1,0
8.1,1,3,1,90,4.6,73,86,1,1,1
6.9,1,1,0,83,3.5,61,71,0,1,0
8.2,1,3,0,83,4.8,71,84,1,1,1
7.6,1,2,1,72,3.9,58,66,0,1,0
6.6,1,1,1,69,3.6,55,72,0,1,0
6.7,1,2,1,74,4.8,72,64,1,1,1
8.2,2,3,2,76,4.5,73,82,1,1,0
8.3,2,3,1,90,4.2,82,83,1,1,1
7.6,0,2,0,86,4.8,57,72,1,1,1
6.7,1,3,0,87,4.6,81,69,1,0,0
8.1,0,2,1,84,3.8,71,68,0,0,0
8.5,1,2,2,79,3.9,76,66,1,1,1
8.8,1,3,0,76,4.7,75,84,1,1,1
7.2,1,2,0,68,4.2,57,66,1,1,0
7.6,1,1,0,80,4.5,66,67,1,1,0
7.1,1,1,0,70,3.3,55,66,0,0,0
8.1,1,3,2,89,4.6,86,80,1,1,1
7.4,1,3,0,83,4.2,65,82,0,1,0
7.7,2,2,2,85,4.8,74,83,1,1,0
7.5,0,1,1,75,3.3,61,73,0,1,0
7.5,1,1,0,64,4.0,73,66,0,0,0
7.8,2,2,2,90,4.8,81,82,1,0,1
7.7,1,3,1,89,4.6,61,84,0,1,1
7.9,0,1,2,83,4.8,58,81,1,0,0
7.4,1,2,1,63,3.9,55,67,0,0,0
7.3,1,1,0,80,4.7,64,65,0,1,0
6.5,1,1,1,62,3.8,58,65,0,1,0
